年份,甲,名,姓名,省,府,州县,坐标,longitude,latitude
1757,3,112,拱翊勋,广西,桂林府,临桂县,"110.290371,25.273684",110.290371,25.273684
1760,3,58,刘业俊,广西,浔州府,桂平县,"110.079484,23.394307",110.079484,23.394307
1760,3,105,雷文辉,广西,南宁府,宣化县,"108.365641,22.817651",108.365641,22.817651
1761,2,26,欧阳金,广西,柳州府,马平县,"109.410755,24.315428",109.410755,24.315428
1761,3,52,罗爌,广西,郁林州,北流县,"110.354340,22.708236",110.35434,22.708236
1761,3,80,秦宏智,广西,柳州府,马平县,"109.410765,24.315438",109.410765,24.315438
1761,3,93,唐世厚,广西,桂林府,全州,"111.073138,25.928917",111.073138,25.928917
1761,3,129,何三畏,广西,桂林府,临桂县,"110.290381,25.273694",110.290381,25.273694
1763,3,69,龙仲槐,广西,柳州府,雒容县,"109.605516,24.402721",109.605516,24.402721
1763,3,79,周位庚,广西,桂林府,临桂县,"110.290391,25.273704",110.290391,25.273704
1763,3,104,刘映棻,广西,桂林府,临桂县,"110.290401,25.273714",110.290401,25.273714
1763,3,108,李曜庚,广西,南宁府,宣化县,"108.365651,22.817661",108.365651,22.817661
1766,3,29,潘,广西,浔州府,桂平县,"110.079494,23.394317",110.079494,23.394317
1766,3,65,朱一玠,广西,桂林府,临桂县,"110.290411,25.273724",110.290411,25.273724
1766,3,103,郑名佐,广西,柳州府,象州,"109.683888,23.958514",109.683888,23.958514
1766,3,124,林时蕃,广西,桂林府,义宁县,"110.069645,25.375593",110.069645,25.375593
1769,3,85,莫异兰,广西,桂林府,临桂县,"110.290421,25.273734",110.290421,25.273734
1769,3,89,左方海,广西,桂林府,临桂县,"110.290431,25.273744",110.290431,25.273744
1771,2,55,朱依鲁,广西,桂林府,临桂县,"110.290441,25.273754",110.290441,25.273754
1771,3,52,梁孔珍,广西,郁林州,北流县,"110.354350,22.708246",110.35435,22.708246
1771,3,76,吴元琪,广西,平乐府,平乐县,"110.643375,24.633432",110.643375,24.633432
1772,3,46,周琢,广西,桂林府,临桂县,"110.290451,25.273764",110.290451,25.273764
1775,2,39,周琼,广西,桂林府,临桂县,"110.290461,25.273774",110.290461,25.273774
1775,3,81,吴道萱,广西,南宁府,横州,"109.261379,22.680063",109.261379,22.680063
1778,3,27,许霖,广西,桂林府,临桂县,"110.290471,25.273784",110.290471,25.273784
1778,3,56,王铠,广西,桂林府,临桂县,"110.290481,25.273794",110.290481,25.273794
1780,3,34,周之适,广西,桂林府,临桂县,"110.290491,25.273804",110.290491,25.273804
1780,3,71,李治泰,广西,郁林州,北流县,"110.354360,22.708256",110.35436,22.708256
1780,3,98,何愚,广西,平乐府,平乐县,"110.643385,24.633442",110.643385,24.633442
1781,3,49,李珪,广西,平乐府,恭城县,"110.828402,24.831411",110.828402,24.831411
1781,3,80,潘德周,广西,南宁府,宣化县,"108.365661,22.817671",108.365661,22.817671
1781,3,106,马延承,广西,南宁府,隆安县,"107.696115,23.165852",107.696115,23.165852
1784,3,29,朱依灵,广西,桂林府,临桂县,"110.290501,25.273814",110.290501,25.273814
